1.449219380168180304e+00,1.425022580562370411e+00
1.443037221294970029e+00,1.416936842375816630e+00
1.436791334338621384e+00,1.411586964002252031e+00
1.430571268637262694e+00,1.407667201639334120e+00
1.424469876884137287e+00,1.405658134743060783e+00
1.419020687328194752e+00,1.404942949955995779e+00
1.413385632417003768e+00,1.405323890783996221e+00
1.408510913742140769e+00,1.406607747037045719e+00
1.403976344076975025e+00,1.408605692887856309e+00
1.399784842483719371e+00,1.410850810002355127e+00
1.395940656375445954e+00,1.413672886574773635e+00
1.392449025142710850e+00,1.416678833478634658e+00
1.389315728482102275e+00,1.419366954859923702e+00
1.386745011294200580e+00,1.422205553160068803e+00
1.384276836105741815e+00,1.424454871030951475e+00
1.382297977210519946e+00,1.426313762126662610e+00
1.380593948438326724e+00,1.427761086688638326e+00
1.379148848006163330e+00,1.428444447062007461e+00
1.377946699650693940e+00,1.428584158451603692e+00
1.376971177605679886e+00,1.428135527572124364e+00
1.376205355213056425e+00,1.427213650083156260e+00
1.375654463521759796e+00,1.425856004787228182e+00
1.375209143056182359e+00,1.423877634118867697e+00
1.374912658982366365e+00,1.421698415593784182e+00
1.374710950030566536e+00,1.419204125918039017e+00
1.374540760988528953e+00,1.416093454956561803e+00
1.374422845627555345e+00,1.413036553919828187e+00
1.374308378876202275e+00,1.409404444312683635e+00
1.374165497880083464e+00,1.405966638263576485e+00
1.373962047511972262e+00,1.402002891071256752e+00
1.373665544211721379e+00,1.397952727141287932e+00
1.373243159489641485e+00,1.394267364905019235e+00
1.372661722821876484e+00,1.390174819339164980e+00
1.371887743690800576e+00,1.386141924179982388e+00
1.370996801961493317e+00,1.382212423049252736e+00
1.369788511375912288e+00,1.378400547742512305e+00
1.368371900725071200e+00,1.374709883906183761e+00
1.366758662760267917e+00,1.371144074920528810e+00
1.364960585532131843e+00,1.367706822000284594e+00
1.362989543136146287e+00,1.364401872193515608e+00
1.360857487027206769e+00,1.361233009610187450e+00
1.358576437859450259e+00,1.358204049951278414e+00
1.356405788206461516e+00,1.355318838402581605e+00
